# bufsize real user sys
1 3.89 0.36 3.52
2 3.85 0.37 3.48
4 3.84 0.35 3.49
8 3.86 0.31 3.54
16 3.90 0.32 3.58
32 3.86 0.32 3.54
64 3.86 0.41 3.45
128 3.89 0.39 3.49
256 3.86 0.38 3.48
512 3.84 0.42 3.41
1024 3.87 0.39 3.48
2048 3.86 0.36 3.50
4096 3.84 0.32 3.52
8192 3.84 0.35 3.48
16384 3.84 0.41 3.43
32768 3.85 0.42 3.42
65536 3.85 0.33 3.52
131072 3.84 0.36 3.48
262144 3.84 0.35 3.49
524288 3.86 0.36 3.50
1048576 3.85 0.30 3.54
2097152 3.85 0.37 3.48
4194304 3.87 0.40 3.47
8388608 3.86 0.36 3.49
